Team,Season,Points,GoalDifference,Played,Wins,Draws,Losses,Position
Liverpool,2019-2020,99,52,38,32,3,3,1
Man City,2019-2020,81,67,38,26,3,9,2
Man United,2019-2020,66,30,38,18,12,8,3
Chelsea,2019-2020,66,15,38,20,6,12,4
Leicester,2019-2020,62,26,38,18,8,12,5
Tottenham,2019-2020,59,14,38,16,11,11,6
Wolves,2019-2020,59,11,38,15,14,9,7
Arsenal,2019-2020,56,8,38,14,14,10,8
Sheffield United,2019-2020,54,0,38,14,12,12,9
Burnley,2019-2020,54,-7,38,15,9,14,10
Southampton,2019-2020,52,-9,38,15,7,16,11
Everton,2019-2020,49,-12,38,13,10,15,12
Newcastle,2019-2020,44,-20,38,11,11,16,13
Crystal Palace,2019-2020,43,-19,38,11,10,17,14
Brighton,2019-2020,41,-15,38,9,14,15,15
West Ham,2019-2020,39,-13,38,10,9,19,16
Aston Villa,2019-2020,35,-26,38,9,8,21,17
Bournemouth,2019-2020,34,-25,38,9,7,22,18
Watford,2019-2020,34,-28,38,8,10,20,19
Norwich,2019-2020,21,-49,38,5,6,27,20
Man City,2020-2021,86,51,38,27,5,6,1
Man United,2020-2021,74,29,38,21,11,6,2
Liverpool,2020-2021,69,26,38,20,9,9,3
Chelsea,2020-2021,67,22,38,19,10,9,4
Leicester,2020-2021,66,18,38,20,6,12,5
West Ham,2020-2021,65,15,38,19,8,11,6
Tottenham,2020-2021,62,23,38,18,8,12,7
Arsenal,2020-2021,61,16,38,18,7,13,8
Leeds,2020-2021,59,8,38,18,5,15,9
Everton,2020-2021,59,-1,38,17,8,13,10
Aston Villa,2020-2021,55,9,38,16,7,15,11
Newcastle,2020-2021,45,-16,38,12,9,17,12
Wolves,2020-2021,45,-16,38,12,9,17,13
Crystal Palace,2020-2021,44,-25,38,12,8,18,14
Southampton,2020-2021,43,-21,38,12,7,19,15
Brighton,2020-2021,41,-6,38,9,14,15,16
Burnley,2020-2021,39,-22,38,10,9,19,17
Fulham,2020-2021,28,-26,38,5,13,20,18
West Brom,2020-2021,26,-41,38,5,11,22,19
Sheffield United,2020-2021,23,-43,38,7,2,29,20
Man City,2021-2022,93,73,38,29,6,3,1
Liverpool,2021-2022,92,68,38,28,8,2,2
Chelsea,2021-2022,74,43,38,21,11,6,3
Tottenham,2021-2022,71,29,38,22,5,11,4
Arsenal,2021-2022,69,13,38,22,3,13,5
Man United,2021-2022,58,0,38,16,10,12,6
West Ham,2021-2022,56,9,38,16,8,14,7
Leicester,2021-2022,52,3,38,14,10,14,8
Brighton,2021-2022,51,-2,38,12,15,11,9
Wolves,2021-2022,51,-5,38,15,6,17,10
